name,Prompt,negative_prompt
3D Chibi,"Portrait, man, little 3D Chibi","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Abstract,"Portrait, man, abstract composition, expressive shapes and colors, imaginative forms","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Alien,"Portrait, man, alien, extraterrestrial ambiance, cosmic details","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Analog Film,"Portrait, man, analog film photo, nostalgic moment, warm faded hues, 35mm grain","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Anime,"Portrait, man, anime style, vibrant action","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Astronaut,"Portrait, man, astronaut, moon in background, cinematic composition","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Avatar,"Portrait, man, humanoid with glowing blue skin, intricate bioluminescent patterns, pointy ears, and luminous eyes. avatar by James Cameron's Avatar, set in a magical bioluminescent forest with floating lights and ethereal ambiance","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Avatar - The Last Airbender,"Portrait, man, as the Avatar, glowing blue arrow tattoo on his forehead. Fire flows from his right hand, water swirls around his left hand, air spirals around his body, and a large rock levitates behind him. He is wearing traditional monk robes in vibrant orange and red tones. Cosmic background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Cinematic,"Portrait, man, cinematic film still, dramatic lighting, epic scope, shallow depth of field","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Clay,"Portrait, man, clay figure, play-doh style, bright colors, handmade look","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Clown,"Portrait, man, clown, white face paint, exaggerated red smile painted over his lips, colorful costume with vibrant patterns, red nose, and a playful hat. surrounded by balloons and party decorations in a lively and cheerful setting. bright colors and joyful expression","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Colorful,"Portrait, man, colorful style, vivid palette, intricate design, lively atmosphere","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Comic Book,"Portrait, man, comic book illustration, bold lines, dynamic pose, vibrant inks","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Cowboy,"Portrait, man, cowboy, classic western attire, frontier scenery, rugged feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Crayon,"Portrait, man, crayon drawing, childlike texture, soft waxy lines, colorful","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Cyborg,"Portrait, man, cyborg, mechanical eye, futuristic setting, mechanical details, artificial intelligence, robot face features","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Disney,"Portrait, man, disney-style cartoon, whimsical background, bright colors, animated feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Dragon Ball,"Portrait, man, super saiyan form, imposing plate armor, radiant energy, intense battlefield, anime style","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Graffiti,"Portrait, man, graffiti style, A spray-painted portrait of a person with an abstract, spray-like face using loose, bold strokes and vibrant colors. The background is a concrete wall with layered graffiti tags and drips","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
GTA,"Portrait, man, gta v character holding a gun, vice city background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Hulk,"Portrait, man, Hulk, muscular, green skin, glowing green eyes, torn purple pants, cityscape, rubble, destruction, dramatic lighting, clenched fists, fierce expression, powerful pose","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Isometric,"Portrait, man, isometric perspective, crisp 3D map, intricate tiny details, vibrant","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Kirigami,"Portrait, man, kirigami, 3D paper folding, intricate symmetrical cuts, delicate assembly","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Legend of Zelda,"Portrait, man, legend of zelda style, vibrant fantasy adventure, epic heroic setting","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Manga Lineart,"Portrait, man, manga lineart, anime, bold outlines, dynamic shading, classic manga feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Marble Statue,"Portrait, man, marble statue style","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Matrix,"Portrait, man, matrix style, futuristic sunglasses, black coat, green digital code","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Minecraft,"Portrait, man, as blocky Minecraft character. Cubic head, limbs, and pixelated features. Blocky environment with square trees and clouds.","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Minimalist,"Portrait, man, minimalist illustration, simple clean lines, uncluttered design","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Monochrome,"Portrait, man, monochrome, black and white, strong contrast, textural depth","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Naruto,"Portrait, man, Naruto character, anime style, wearing a ninja headband with the Konoha symbol, traditional ninja outfit in vibrant colors, standing on a rocky landscape with dramatic clouds in the background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Oil Painting,"Portrait, man, oil painting style, soft lighting, intricate brushstrokes, rich colors","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Origami,"Portrait, man, origami figure, folded paper art, geometric pleats, delicate craft","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Paper Mache,"Portrait, man, paper mache figure, sculptural texture, handmade vibrant form","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Paper Quilling,"Portrait, man, paper quilling art, delicate spirals, rolled shapes, dimensional design","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Papercut,"Portrait, man, white papercut style, layered shapes, clean edges, artistic cutouts","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Papercut Light Box,"Portrait, man, 3D papercut shadow box, layered silhouettes, dimensional depth","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Papercut Stacked,"Portrait, man, coloured stacked papercut art, layered dimensional shapes, high contrast","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pencil Sketch,"Portrait, man, pencil sketch, detailed shading, fine lines, soft graphite look","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pirate,"Portrait, man, pirate, classic attire, adventurous nautical setting, cinematic angle","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pixel Art,"Portrait, man, pixelated, blocky, 8-bit, retro, pixel, simple, geometric, flat","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pointillism,"Portrait, man, pointillism style, tiny dots forming image, vibrant color blending","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pokémon,"Portrait, man, person with pokémons, pokémon style, playful fantasy, anime-inspired","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pop Art,"Portrait, man, pop art style, bright colors, bold outlines, iconic pop vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Postal Stamp,"Portrait, man, postal stamp style, vintage border, collectible look, small framed design","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Psychedelic,"Portrait, man, psychedelic style, swirling patterns, vibrant trippy colors","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Race Driver,"Portrait, man, race driver, pro racing suit, sports car backdrop, dynamic setting","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Renaissance,"Portrait, man, renaissance painting style, refined light and shadow, classical realism","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Retro Game,"Portrait, man, retro game art, 16-bit style, nostalgic palette, fun pixel vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Rick and Morty,"Portrait, man, Rick and Morty style, comedic sci-fi cartoon, chaotic energy, a swirling neon-green portal glowing in the background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Round Badge,"Portrait, man, round badge style, circular emblem, contained design, bold framing","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Royalty,"Portrait, man, royalty style, regal attire, majestic ambiance, opulent details","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
RPG Fantasy Game,"Portrait, man, holding epic gold hammer, rpg fantasy, detailed armor, epic high-fantasy setting, heroic flair","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Satoshi Urushihara,"Portrait, man, satoshi urushihara style, expressive lines, vivid color, detailed shading","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Sewing Doll,"Portrait, man, sewing doll style, stitched details, handcrafted look, fabric texture","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Shrek,"Portrait, man, green-skinned shrek","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Silhouette,"Portrait, man, silhouette style, high contrast black shape, minimalist background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Soccer Player,"Portrait, man, soccer player, dynamic pose, energetic stadium, action shot","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Soldier,"Portrait, man, soldier style, tactical gear, intense setting, dramatic angle","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Spider-Man,"Portrait, man, spider-man style, iconic suit, dynamic aerial pose, comic flair","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Stained Glass,"Portrait, man, face entirely made of stained glass, mosaic style, vibrant and translucent glass pieces, black leading lines, geometric patterns, no realistic features, fully integrated into a stained glass design, intricate and colorful","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Street Fighter,"Portrait, man, street fighter style, vibrant fighting aesthetic, arcade action","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Studio Photo,"Portrait, man, studio style, refined lighting, professional backdrop, clean composition","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Super Mario,"Portrait, man, super mario style, playful cartoon vibe, bright colors, classic game feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Surrealist,"Portrait, man, surrealist art, dreamlike imagery, symbolic, thought-provoking","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Tarot Card,"Portrait, man, tarot card style, ornate borders, mystical symbolism, vintage mood","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
The Simpsons,"Portrait, man, the simpsons character, the simpsons city background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Tribal,"Portrait, man, tribal, indigenous-inspired patterns","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Viking,"Portrait, man, viking with helmet, norse attire, rugged setting, warrior vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Watercolor,"Portrait, man, watercolor painting, vibrant washes, painterly textures, soft edges","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Wicked Skull,"Portrait, man, wicked skull, haunting design, dark decorative bones, menacing vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Wizard,"Portrait, man, wizard, arcane magic, mystical aura, fantasy realm","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Zentangle,"Portrait, man, zentangle style, intricate abstract patterns, repetitive monochrome designs, bold outlines, fine details, variety of shapes, fully filled with patterns, no empty spaces","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Zombie,"Portrait, man, zombie, skeletal face with exposed bone structure, decayed flesh partially covering the skull, ribs visible through the chest, blood dripping from wounds, hollow eyes, decomposed and terrifying expression, urban alley background, dramatic and eerie lighting, intense horror aesthetic","bad quality, deformed, blur, glitch, mutated, watermark, lowres"
