name,Prompt,negative_prompt
3D Chibi,"Portrait, woman, little 3D Chibi","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Abstract,"Portrait, woman, abstract composition, expressive shapes and colors, imaginative forms","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Alien,"Portrait, woman, alien, extraterrestrial ambiance, cosmic details","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Analog Film,"Portrait, woman, analog film photo, nostalgic moment, warm faded hues, 35mm grain","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Anime,"Portrait, woman, anime style, vibrant action","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Astronaut,"Portrait, woman, astronaut, moon in background, cinematic composition","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Avatar,"Portrait, woman, humanoid with glowing blue skin, intricate bioluminescent patterns, pointy ears, and luminous eyes. avatar by James Cameron's Avatar, set in a magical bioluminescent forest with floating lights and ethereal ambiance","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Avatar - The Last Airbender,"Portrait, woman, as the Avatar, glowing blue arrow tattoo on his forehead. Fire flows from his right hand, water swirls around his left hand, air spirals around his body, and a large rock levitates behind him. He is wearing traditional monk robes in vibrant orange and red tones. Cosmic background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Cinematic,"Portrait, woman, cinematic film still, dramatic lighting, epic scope, shallow depth of field","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Clay,"Portrait, woman, clay figure, play-doh style, bright colors, handmade look","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Clown,"Portrait, woman, clown, white face paint, exaggerated red smile painted over his lips, colorful costume with vibrant patterns, red nose, and a playful hat. surrounded by balloons and party decorations in a lively and cheerful setting. bright colors and joyful expression","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Colorful,"Portrait, woman, colorful style, vivid palette, intricate design, lively atmosphere","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Comic Book,"Portrait, woman, comic book illustration, bold lines, dynamic pose, vibrant inks","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Cowboy,"Portrait, woman, cowboy, classic western attire, frontier scenery, rugged feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Crayon,"Portrait, woman, crayon drawing, childlike texture, soft waxy lines, colorful","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Cyborg,"Portrait, woman, cyborg, mechanical eye, futuristic setting, mechanical details, artificial intelligence, robot face features","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Disney,"Portrait, woman, disney-style cartoon, whimsical background, bright colors, animated feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Dragon Ball,"Portrait, woman, super saiyan form, imposing plate armor, radiant energy, intense battlefield, anime style","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
